data_type,id,name,address,lat,lng,cctv_purpose,cctv_count,cctv_pixel,install_ym,lamp_id,police_type,crime_year,crime_kill,crime_rob,crime_theft,crime_violence,lamp_type,dong_code,dong_name,sgg_code,is_gwanak
cctv,202632000000800033,서울특별시 관악구청,서울특별시 관악구 무궁화공원 (난곡로26길 69),37.4696,126.9236,기타,1.0,200.0,,,,,,,,,,1162077500,난곡동,11620,True
cctv,202632000000800034,서울특별시 관악구청,서울특별시 관악구 송학어린이공원 (관악로15길 21),37.48046,126.9491,기타,1.0,200.0,,,,,,,,,,1162059500,청룡동,11620,True
cctv,202632000000800035,서울특별시 관악구청,서울특별시 관악구 비안어린이공원 (장군봉 7길 15-4),37.48063,126.9401,기타,1.0,200.0,,,,,,,,,,1162059500,청룡동,11620,True
cctv,202632000000800036,서울특별시 관악구청,서울특별시 관악구 서원어린이공원 (서원3길 10),37.47661,126.9332,기타,1.0,200.0,,,,,,,,,,1162064500,서원동,11620,True
cctv,202632000000800037,서울특별시 관악구청,서울특별시 관악구 청룡산공원 (청룡동 556-89),37.47727,126.9493,기타,1.0,200.0,,,,,,,,,,1162059500,청룡동,11620,True
cctv,202632000000800038,서울특별시 관악구청,서울특별시 관악구 청룡산공원 (청룡동 556-91),37.47695,126.9493,기타,1.0,200.0,,,,,,,,,,1162059500,청룡동,11620,True
cctv,202632000000800039,서울특별시 관악구청,서울특별시 관악구 까치어린이공원 (행운4길 2),37.47984,126.9593,기타,3.0,200.0,,,,,,,,,,1162057500,행운동,11620,True
cctv,202632000000800040,서울특별시 관악구청,서울특별시 관악구 까치어린이공원 (행운4길 2),37.47984,126.9598,기타,1.0,200.0,,,,,,,,,,1162057500,행운동,11620,True
cctv,202632000000800041,서울특별시 관악구청,서울특별시 관악구 신라창의어린이공원 (미성8길 3-20),37.47351,126.9126,기타,1.0,200.0,,,,,,,,,,1162076500,미성동,11620,True
cctv,202632000000800042,서울특별시 관악구청,서울특별시 관악구 국사봉어린이공원 (봉천로21길 67),37.48996,126.9342,기타,1.0,200.0,,,,,,,,,,1162052500,보라매동,11620,True
cctv,202632000000800043,서울특별시 관악구청,서울특별시 관악구 은천어린이공원 (국회단지10길 22),37.48838,126.9429,기타,1.0,200.0,,,,,,,,,,1162060500,은천동,11620,True
cctv,202632000000800044,서울특별시 관악구청,서울특별시 관악구 한라어린이공원 (난곡로43길 25),37.47566,126.9148,기타,1.0,200.0,,,,,,,,,,1162076500,미성동,11620,True
cctv,202632000000800045,서울특별시 관악구청,서울특별시 관악구 관악산공원 돌산화장실앞,37.46667,126.947,기타,1.0,200.0,,,,,,,,,,1162073500,대학동,11620,True
cctv,202632000000800046,서울특별시 관악구청,서울특별시 관악구 관악산공원 호수공원 #01,37.45853,126.9469,기타,1.0,200.0,,,,,,,,,,1162073500,대학동,11620,True
